Tom can't come in.	Tom kać bolo daea.
In the decades following, public life gradually emerged all over India, leading eventually to the founding of the Indian National Congress in 1885.	Ena tayomaḱ decade ko re, India re public life mãe mãe te nelnam eana, anḍoḱ ena te ge 1885 re Indian National Congress bai bit́ eana.
I like learning languages.	Eṭaḱ-eṭaḱ Jagar ko etonn sukuńa.
Where are you going?	Okon tebena?
The World Bank cautions that, for India to achieve its economic potential, it must continue to focus on public sector reform, transport infrastructure, agricultural and rural development, removal of labour regulations, education, energy security, and public health and nutrition.	World Bank aete Caution em akana, India aḱ Economic Potential achieve ê lagit́, India re Public Sector Reform, Transport Infrestructure, Síhasa,, Hatusai Development, Labour Regulation Anatom, Etosẽa, Energy Security, anḍoḱ Sangekohasubanaṅ (Public Health),, Nutrition re Focus em rika idiê te hobana.
Their village is small.	Hatu takô huḍiń gea.
Marriage does not happen in the same sept.	Miat́ ge Kili re Aandi kaa hobana.
This wide variety of shapes is determined by the bacterial cell wall and cytoskeleton and is important because it can influence the ability of bacteria to acquire nutrients, attach to surfaces, swim through liquids and escape predators.	Shape ko reaḱ wide Variety do Bacteria Okoaginil (Cell Wall),, Cytoskelton te determine oḱa, anḍoḱ nena do Bacteria ko Nutrient naám re, Surface kore juaḱenn lagit́, Liíngiaḱ (Liquid) kore oyarenn, Predator ko taḱaete nirduḱnn Danae influence oḱa.
When he was around seven years old, he was brought back to civilization.	7 sirma lekać hoba len re, Civilization teć agu ruaa lena.
It is the subject of a long-standing debate in linguistics and language acquisition over the extent to which the ability to acquire language is biologically linked to developmental stages of the brain.	Linguistics,, Language Acquisition re, Language Eton Daṉaê do okon Extent jooṅ Hataṅ Haramaraṅ Stage ko loḱ Biological Link menaḱa menteaḱ long-standing debate re, nena miat́ Subject akana.
This is never going to end.	Nena kaa chabana.
Are you afraid?	Boroê tanaben?
The villages are thirsty.	Hatu re Daḱringa menaḱa.
Santiago's words still give me chills.	Santiago aḱ Kaji te nahḱ ó gisir geń adaêa.
Can you help me?	Denga daeńape chi?
Early political consolidations gave rise to the loose-knit Maurya and Gupta Empires based in the Ganges Basin.	Sidae sidaeaḱ political Consolidation te Ganga Gaḍa basin re loose-knit Maurya anḍoḱ Gupta Empire ko emerge eana.
Tell me again.	anḍoḱ misa kajiań me.
Gradually expanding rule of the British East India Company followed, turning India into a colonial economy, but also consolidating its sovereignty.	En tayom British East India Company renkoaḱ gradually-expanding-rule otoṅ hućoḱ eana, India dokô colonial-economy ket́a, enloḱ enaaḱ sovereignty ókô consolidate ket́a.
What are you cooking?	Chenaḱpe isin tana?
Am I losing?	Paḍuoḱ tanań chi?
More coffee, please.	onḍoḱ ge Coffee honaṅ.
Everybody was staring at Tom.	Saben Tom paakô heta akat́ taekena.
Let's dance.	Dolaṅ susuna.
Do what is good to those who hate you.	Kaa bugim tan koó bugiko me.
What time is the meeting?	Meeting chimita rea?
What's he doing over there?	Ać han re chenaḱć chika tana?
Come eat!	Dola jomê me!
Let's ask him.	Dolabu kulića.
He was later sent to the court of Prince Henry, and became accustomed to human society but said he preferred the wolves.	Enić tayom do Prince Henry aḱ Court teć kul eana, anḍoḱ Human Society ć nel sebe ean reó 'Ṭẽoḱ ko taḱ geń sukuat́ać' men.
Everyone fell asleep.	Saben ko duum eana.
Why are they here?	Chenaḱ mente nentaḱ rekoa?
Don't let Tom use my car.	Tom ańaḱ Car alam har irieća.
There is much debate over the timing of the critical period with respect to second-language acquisition (SLA), with estimates ranging between 2 and 13 years of age.	Estimate ko 2 aete 13 sirma jooṅ senoḱ tan loḱ, Second Language Eneto reaḱ Critical Period reaḱ Timing chetan ó esu debate menaḱa.
Scientists at the Harvard-Smithsonian Center for Astrophysics, after analyzing data from NASA's Kepler space telescope, calculated that six percent of the galaxy's 75 billion red dwarf stars have potentially habitable, Earth-sized planets. Red dwarfs — which are smaller, cooler and much dimmer than our own Sun — are the most common stars in the galaxy, so the closest Earth-like planet could be just 13 light years away, the astronomers conclude in their new study.	Harvard-Smithsonian Astrophysics Center ren Scientist ko, NASA aḱ Kepler Space Telescope aetenn Data analyse keet́, nen Galaxy ren 75 Billion Araḱ Dwarf Ipil kore 6% re, potentially Jiwt́basadaeoḱ,, Mataraṅ Ote iminoḱ Planet ko menaḱa mentekô calculate ket́a. Abuaḱ Singi aeteó huḍiṅ,, reaa,, láḱ nubaḱ gen Araḱ Dwarf ko do, Galaxy ren common utar Ipil ko, enate, japaḱ utar Ote-lekan Planet do 13 ge Marsalsirma saniṅ menaḱ toraṅ mente takoaḱ nama Study re Astronomer ko conclude ket́a.
Don't be like him.	Enić leka alam baina.
Ziri is from a village.	Ziri do Hatu aetenić.
Look at this!	Neè!
I can shoot.	Tuń daeań.
You're not as tall as Tom is.	Tom imin kam salangià.
Sometimes bears roam our village.	Ale Hatu re misa-misa Bana ko honor baaà.
We can learn a lot from children.	Hon ko taḱ aete esuaḱbu etonn daea.
You are beautiful.	Esu bugiben neloḱa.
Let's work.	Dolaṅ paitiêa.
These dual processes, driven by convection in the Earth's mantle, both created the Indian Ocean and caused the Indian continental crust eventually to under-thrust Eurasia and to uplift the Himalayas.	Ote aḱ Convection te hoban taeken en barea process te, Indian Ocean ó bai eana, anḍoḱ Indian continental crust te tayom Eurasia under-thrust ean te Himalaya buru ó udur rakaṕ eana.
They were laughing like crazy.	Bayaoḱ tan lekakô landa tan taekena.
Why is Tom here?	Tom chenaḱ mente nentaḱ rića?
Are you happy?	Rãasa rebena chi kaa?
In the 6th and 7th centuries, the first devotional hymns were created in the Tamil language.	6th anḍoḱ 7th century re, Tamil language ren ayarutar devotional-hymn ko bai eana.
You are in my heart.	Ańaḱ Jibon remea.
Sami doesn't like Layla because she is ginger.	Layla aḱ Bohḱbale araḱ chambara te Sami kać sukuteića.
I don't speak Japanese.	Japanese te kań jagar etoêa.
Their long occupation, initially in varying forms of isolation as hunter-gatherers, has made the region highly diverse, second only to Africa in human genetic diversity.	Eoṕ re hunter-gatherer ko leka varying form of isolation re taen taen te enkoaḱ sipirmaoḱgen Banasa te nen Region esu diverse eana, human-genetic-diversity lekate ma Africa sekar láḱ eana.
Sit down.	Duṕ pe.
What time is the meeting?	Dunuṕ chimite rea?
Our school is in this village.	Ale School nen Hatu rea.
The critical period hypothesis states that the first few years of life is the crucial time in which an individual can acquire a first language if presented with adequate stimuli, and that first-language acquisition relies on neuroplasticity of the brain.	Critical Period Hypothesis re, eneoṕaḱ chiminaṅ taesirma do crucial gea, lali stimuli emoḱ redo, jaać reó ge First Language kô eto daea mente ó, First Language Eneto do, Hataṅ Neuroplasticity dae suba rea mente ó menoḱa.
Come here.	Ila.
"The new home is more than one-thousand square meters. Work crews used almost ninety-one-thousand kilograms of steel to build it. About one-fifth of the steel is covered with a chemical that kills bacteria, mold and other organisms. A Massachusetts company, AgION Technologies, produces the chemical. The heating, airflow and cooling systems all are made with the treated steel. So are food preparation surfaces and other ""high-touch"" areas, along with the roof."	"Nama Oaḱ do mit́ Thousand Square Meter aete ó láḱa. Ena bai re Paiṭi Crew ko upuhisigelmit́ Thousand kilogram leka noḱ Steel kô agujoṅ ket́a. Steel mõe-re-mit́ chetan do Bacteriahita,, Guúmahita,, eṭaḱ Manjivt́ ko goóć Chemical menaḱa. AgION Technologies, miat́ Massachusetts ren Company re nen Chemical ko baioḱa. Uúrgum,, Hoyoparom,, Reéaa System ko saben nen Treated Steel te ge bai akana. Oaḱdanaṕ loḱ te, Jomaḱ Baái Surface ko,, eṭaḱ ""laaḱ jaḱoḱ"" Area ko ó enka ge."
I too like apples.	Ań ó ge Apple koń sukutea.
India do megadiverse Disum tana, nen Term do kipilijivt́ (biological diversity) sangeann (high ann) anḍoḱ Hasaùpanaḱ (Enhasaùpanaḱ) Jivt́hita ko sange menaḱ tan 17 disum ko lagit́ agujoṅoḱa.	India is a megadiverse country, a term employed for 17 countries which display high biological diversity and contain many species exclusively indigenous, or endemic, to them.
The bees followed Edmundo around and stung him.	Dumur ko Edmundo ko otoṅ baa ket́ića, anḍoḱkô tú ket́ića.
She is not home, but at school.	Oaḱ redo kaa School rića.
There is disagreement about the causes of the Dunning–Kruger effect.	Dunning–Kruger effect reaḱ cause chenaḱ tana menteaḱ re disagreement menaḱa.
I opened the can, but it was empty.	Can reaḱ Danaloṕeń hoṭaḱ ket́a, ena mendo sama ge taekena.
Tom has one younger brother.	Tom aḱ miat́ Unḍite menaḱća.
I wanna go!	Senêań!
Tom is busy now, so he can't talk with you.	Tom nahḱ Paiṭi rića, ape loḱ kać jagar daea.
Most bacteria have not been characterised and there are many species that cannot be grown in the laboratory.	Most Bacteria ko do kakô characterise chaba akana, anḍoḱ Laboratory re kako sange ichi (grow) daeoḱ lekan Hita (Species) koó menaḱa.
Where are you going?	Okon tem sen tana?
Yanni left home early in the morning.	Yanni Setaḱ re Oaḱ aete anjaa noḱć ooḱl eana.
The queen stood beside the king.	Rani do Raja japaḱ reć tingu eana.
He is at home.	Oaḱ rića.
The relative peace maintained by the empire during much of the 17th century was a factor in India's economic expansion, resulting in greater patronage of painting, literary forms, textiles, and architecture.	Goŧa noḱ 17th century re empire maintain let́ relative-peace do India aḱ economic expansion ren miat́ factor leka taekena, enate painting, literary form, textile, anḍoḱ architecture ko láḱ patronage em eana.
I like dogs.	Seta koń sukuaà.
By 1200 BCE, an archaic form of Sanskrit, an Indo-European language, had diffused into India from the northwest.	1200 BCE loḱ re do, miat́ Indo-European Language Sanskrit aḱ mari Oṛoṅ (Form), northwest aete India re diffuse len taekena.
We saw the whole thing.	Goṭale nel ket́a.
Most historians also consider this period to have encompassed several waves of Indo-Aryan migration into the subcontinent from the north-west.	Laaḱpaa historian koaḱ manatiṅ lekate nen period rege Indo-Aryan koaḱ north-west paa aete subcontinent bitâr ten chiminaṅ wave ren migration hoba lena.
Who's taller, you or me?	Okoć láḱ salangia, am chi ań?
India's wildlife, which has traditionally been viewed with tolerance in India's culture, is supported among these forests, and elsewhere, in protected habitats.	Traditionally do Tolerance loḱ nel aguoḱ tan India aḱ Birjivt́ ko do nen Bir ko re, anḍoḱ eṭaḱ paa raka akan Habitat ko re gekô support akana.
That old house is thought to be haunted.	En papari Oaḱ do 'Bonga ko menaḱa' kô menêa.
Are you at home?	Oaḱ re menaḱmea chi?
Among the socio-economic challenges India faces are gender inequality, child malnutrition, and rising levels of air pollution.	India sanamaṅ re menaḱ tan socio-economic-challange ko do, gender-inequality, child-malnurition anḍoḱ level-rise oḱ tan air-pollution.
Under the Guptas, a renewed Hinduism based on devotion, rather than the management of ritual, began to assert itself.	Critical Period Hypothesis re, eneoṕaḱ chiminaṅ taesirma do crucial gea, lali stimuli emoḱ redo, jaać reó ge First Language kô eto daea mente ó, First Language Eneto do, Hataṅ Neuroplasticity dae suba rea mente ó menoḱa.
They constitute a large domain of prokaryotic microorganisms.	Enko Prokaryotic Manjinivt́ ko (Microorganisms) Domain ren maraṅ Hitat́ ge.
Act like adults.	Maraṅ ko leka taenn ben.
Muslim armies from Central Asia intermittently overran India's northern plains, eventually founding the Delhi Sultanate, and drawing northern India into the cosmopolitan networks of medieval Islam.	Central Asia aeten Muslim army ko intermittenly India aḱ north-plain ko attack ê taekena, eventually Delhi Sultanate ko bai bit́ ket́a, anḍoḱ enkate north-India do medieval Islam aḱ cosmopolitan Sikuar (Network) loḱkô or mesa ket́a.
Tell me.	Kajiań pe.
Some 431 million Indians have left poverty since 1985; India's middle classes are projected to number around 580 million by 2030.	1985 aete, 431 Million leka India renko Ripinga aetekô atom akana; 2030 jooṅ do, India aḱ Middle Class koaḱ leneka 580 Million leka hobana mente project akana.
Where do you live?	Okon reben taena?
All the villagers know him.	Hatu ren saben ko chirgal tat́ića.
The researchers were able to estimate that the polar bears' ancestors branched off from the brown bear population when they headed north and adapted to the Arctic habitat, becoming a separate species about 150,000 years ago.	Punḍi Bana aḱ Ancestor ko North paa senoḱ ean aete Arctic Habitat rekô adapt ean re, 150,000 leka sirma maaṅ tannga Species kô baioḱ leka, Brown Bana koaḱ Population aetekô chaṅ tannga eana, -mentekô estimate daeat́a Researcher ko.
Why is Tom wet?	Tom chenaḱ menteć lum akana?
In recent years, the term has seen a revival in bioethical discussions on the usage of new technologies such as CRISPR and genetic screening, with heated debate around whether these technologies should be considered eugenics or not.	Daaradaḱ sirma ko re do, nen term do CRISPR anḍoḱ genetic screening lekan nama technology reaḱ usage reaḱ bioethical discussion ko re agu ruaa akana, nekan technology ko do Eugenics mene re bugia chi kaa mente heated debate hoban tan gea.
The various modes of worship which prevailed in the Roman world were all considered by the people as equally true; by the philosopher as equally false; and by the magistrate as equally useful. And thus toleration produced not only mutual indulgence, but even religious concord.	Roman World re taeken Bongaburu reaḱ sange Mode ko sanam, hoo ko do equally sarià -mente; Philosopher ko do equally False à -mente; anḍoḱ Magistrate do equally useful à -menteć nelê taekena. Anḍoḱ enkate, Toleration te, mutual Indulgence sekar ge do ká, religious Concord ó produce eana.
Lift it up.	Tíṅê me.
India's foreign exchange remittances of US$100 billion in 2022, highest in the world, were contributed to its economy by 32 million Indians working in foreign countries.	2022 re, Otesai re ge highest, US$100 Billion hoban, India aḱ Foreign Exchange Remittance do, Foreign Disum kore paiṭi tan 32 Million India renko India aḱ Economy rekô em mesa ket́a.
Tom is standing in front of the school.	Tom School samanaṅ reć tingu akana.
